title,abstract,mark
西班牙养老院因接种新冠疫苗导致全体阳性,西班牙确实发生了养老院老人接种新冠疫苗后出现阳性的情况，但媒体报道过于简略，让人误以为是因为接种新冠疫苗直接导致的新冠感染。考虑到西班牙正在经历比去年春秋两季还要猛烈的第三波新冠肺炎疫情，有很多情况会导致养老院出现病例，就此下结论为时过早。此前挪威也发生过类似案例，欧洲药品管理局和世界卫生组织均对此事进行了调查，认定这一个案符合预期，老人的死亡与注射辉瑞疫苗没有关系。,1
纽约华裔新冠死亡率第一,相关论文为一篇预印本文章，未经同行评议。论文中提到的死亡率为住院患者死亡率，而非“新冠死亡率”。一些文章中将其表述为华裔“新冠死亡率第一”，混淆了住院死亡率和新冠死亡率的概念。从样本来看，该研究包括的新冠病例仅占纽约市该时间段病例的十分之一，而查看其所采用的姓氏分类标准，很多明显不是华裔的姓都被归入华裔，所以无法得出“纽约华裔新冠死亡率第一”的结论。该论文也没有说“美国医生更容易放弃对华裔的治疗转而挽救黑人和拉美裔”、“华裔更容易被拔管等死”。,1
新冠病毒E484K“逃逸突变”已让疫苗完全失效,只有针对新冠病毒S蛋白的抗体能真正有效阻止新冠病毒入侵，所以如果病毒S蛋白上出现了显著突变，就可能导致疫苗保护力降低，也就是发生了“免疫逃逸”。目前南非和巴西突变株的E484K突变即为这种逃逸突变体。虽然保护力可能降低，但目前来看，新冠疫苗还是有效的。疫苗的作用是非常复杂的，疫苗在人体内的应答不只有抗体，还有很重要的T细胞反应，而后者对于突变株仍然有效。有研究显示，英国B.1.1.7病毒株的传染性变强，感染者的病死率也有所上升，但这并不意味着病毒致病力一定增高，因为病死率还与治疗方式的变化，以及是否出现医疗资源挤兑等有关。,1
加拿大科学家发现秋水仙碱是新冠救命药,"加拿大蒙特利尔心脏研究所的一项研究中，研究人员确实发现秋水仙碱能大幅降低患者出现危重症和死亡的风险。但在此次临床试验中，治疗的对象仅为未住院的患者，并没有数据表明秋水仙碱可以用于治疗重症及危重症患者，所以称其为“救命药”、“特效药”为时尚早。秋水仙碱有抗炎作用，还有理论认为秋水仙碱有抗病毒的作用，加拿大卫生部门有可能批准将其用于非住院新冠感染者的治疗。但秋水仙碱有一定的毒性，再加上剂量是治疗的关键,所以即使被批准也需要在医生的指导使用。目前尚未获批，更不建议新冠患者自行服用。",3
世界卫生组织不建议接种莫德纳新冠疫苗,世界卫生组织没有不建议接种莫德纳新冠疫苗，只是在使用指南中列出了目前不适宜接种莫德纳新冠疫苗的几类人群，对接种禁忌症以及接种后的观察监测和过敏事件处置及报告提出了详细建议。,1
 八分之一新冠康复者会在140天内死亡,这个说法来自一项英国的研究，尚未正式发表。新冠重症患者、严重的基础疾病，年龄大，三个因素叠加才导致死亡率达到八分之一，英国普通感染新冠病毒的康复者死亡率不可能这么高。此外，根据英国的新冠肺炎出院标准，可以认为研究中的一些“康复者”其实并未完全康复。如果完全康复了，死亡率可能更低。,1
进口车厘子检出新冠阳性所以车厘子不能吃了,“检出核酸阳性”是只要有病毒片段就可以，车厘子表面的核酸阳性不代表是“活病毒”，而新冠病毒感染人体细胞需要是“活病毒、足够量”，所以检出核酸阳性不代表这些车厘子就会传染新冠病毒。迄今为止，还没有消费者因为接触或者食用冷链食品物品而导致的感染。所以没有必要对进口车厘子过度恐慌。如果实在担心，可以选择暂时不吃车厘子或者其他有风险的食品。,1
视频曝光：上海肿瘤医院确诊新冠员工在电梯强吻他人,网传视频右下角有监控设备的地理信息为“102-博发-4号楼”，而上海肿瘤医院内部没有名为“博发”的楼。两名主角戴着的帽子和身着的衣服也并非是医院护工常见蓝色帽子、制服，看起来更像是工厂的工服。1月22日，上海辟谣平台记者就网传视频向上海肿瘤医院核实，医院回复称：“经核实，网传‘上海肿瘤医院电梯内员工强吻’视频为不实消息。”,1
意大利发现最早人类感染新冠病毒病例,有报道称意大利研究人员发现了“最早人类感染新冠病毒病例”，这个说法系误传。研究中原话其实是“意大利从皮肤样本中检测到新冠的最早病例”。此外，这项研究的实验过程也存在缺陷，检出的病毒存在是其他冠状病毒的可能。目前已有多项研究报告，发现疑似新冠在2020年1月前及更早时间传播的痕迹，但病毒溯源是一个系统的、非常复杂的过程，目前仍无法得出关于病毒源头的确定结论。,3
辉瑞新冠疫苗的有效率29％仅为假设,辉瑞-BioNTech的公开数据所提出的有效性 “29%” 的观点建立在一个大胆假设的基础上——疫苗试验中数千名疑似病例都是新冠感染者，但这3410名 “疑似新冠患者” 可能存在大量假阴性，因此要和确诊者一样，考虑进疫苗保护率的计算。辉瑞和Moderna公司的标准是需要根据核酸检测阳性才能作为确诊病例进行统计，29%的结果并没有一个基础研究的数字支持。辉瑞宣称的95%疫苗保护率是过高的，部分原因是试验中的统计误差，而辉瑞疫苗的实际保护率大约在75%和80%之间。,2
乙肝携带者会影响新冠抗体检测结果,新型冠状病毒抗体检测包括IgM抗体和IgG抗体，是核酸检测的有益补充。然而每项检测都有一定的假阳性率以及假阴性率，也就是说它的检测受一些因素的干扰。可能导致新冠抗体假阳性的因素包括：类风湿因子阳性、丙肝抗体阳性，以及大肠埃希菌菌血症等。目前单中心小样本检测结果说明乙肝病毒携带不影响抗体的检测，但还需要扩大样本量进一步观察研究。判定是否感染新冠病毒，需要结合流行病学资料、临床症状、影像特点、实验室检查等综合分析。,3
成都青白江区10月底开展全员核酸检测,经成都市青白江区卫生健康局核实，青白江区正在制定大规模人群核酸检测应急预案，未计划开展全员核酸检测，无志愿者招募计划。,1
烟台新增无症状感染者共追踪到密接者26350人,该信息系对山东省卫生健康委员会10月18日0时至24时疫情通报的错误解读。通报指出的“目前共追踪到密切接触者26350人，尚有562人正在接受医学隔离观察”，是山东省自疫情发生以来追踪到的所有密切接触者和隔离观察人员累计数据，并非烟台市此次新增境外输入无症状感染者追踪数据。,1
十一期间武汉硚口区有一千多人去过青岛,武汉市硚口区疾控部门已对9月27日以来青岛来硚返硚人员197人进行了核酸检测，并有效管控，目前，核酸检测结果均为阴性。网络流传图片中“一千多人去过青岛”等情况不属实。,1
钟南山10月12日抵达青岛协助疫情防控工作,根据中国南方航空公司某乘务员的微博显示，10月12日，钟南山院士搭乘航班从广州飞往北京，并未前往青岛。,1
特朗普夫妇确诊新冠肺炎,美国当地时间10月2日，美国总统特朗普发推特宣布，他和第一夫人梅拉尼娅新冠病毒检测呈阳性，已开始隔离。,2
辉瑞疫苗对亚裔有效率不足,辉瑞新冠疫苗的三期临床数据确实显示其对亚裔的有效率相对较低，但这与样本量有关。辉瑞公司发言人明确表示，“（疫苗）疗效在不同年龄、性别、种族和民族的人口中是一致的”。辉瑞疫苗已经通过美国FDA和其他一些国家卫生当局的审批，其有效性已经达到要求。此外，Moderna疫苗的三期临床试验数据显示其对亚裔有效性达100%，但因为样本数量和临床试验的设计参数不同，现有数据并不能证明辉瑞疫苗和Moderna疫苗哪个对亚裔更有效。,1
北京市委市政府紧急通知，宣布进入“战时”状态,经北京日报记者向北京防控办核实，“北京宣布进入‘战时’状态。外地进京包括外出返京人员需隔离21天。返京人员除要求21天医学观察期满之外，还需持7日内核酸检测阴性证明”的消息为谣言。,1
辉瑞新冠疫苗会致人面瘫,辉瑞的新冠疫苗在三期实验中，有四名受试者出现了贝尔麻痹（即面瘫的一种类型）现象。尽管疫苗与贝尔麻痹是否无关还需后续研究才有最终结论，但需要指出的是，实验中贝尔麻痹发生的几率很低，这种情况也并不严重，大部分无需治疗即可好转。打疫苗的预期获益是远高于潜在的风险的。辉瑞的新冠疫苗会让部分接种者头疼、发冷、发热、疲劳、肌肉与关节疼痛。有严重过敏史的人也不建议使用该疫苗。但目前没有证据表明它会致人死亡、不育，或改变人的DNA。,3
打新冠疫苗会导致女性不育,网传说法中称，新冠病毒的“触手蛋白”与人体的“胎盘融合蛋白”结构相似，所以注射疫苗后产生的抗体就会“攻击”正常的胎盘融合蛋白，导致妇女“不育”。事实上这种所谓的“结构相似”的蛋白的序列太短了，短到人体的免疫系统根本就不会将病毒的蛋白与人体胎盘的蛋白搞混。如果该说法属实，那么许多感染过新冠病毒的女性首先就应该出现大面积的不育问题。可许多医学论文和文献都显示，新冠疫情并没有对女性的生育功能带来影响，也不会影响和增加女性出现早期流产的概率。只要是经过严谨的研发和临床试验流程并通过国家监管部门审批后上市的新冠疫苗，大众是可以放心使用的。,1
成都确诊新冠肺炎女子照片曝光,居住于成都市成华区崔家店某小区的20岁女孩赵某，被确诊为新冠阳性后，关于她的个人信息便在网上热传，但网传照片其实是湖南女孩小瑶的艺术照，系被人盗用。,1
新冠特效药已面世，2天病毒就消失,研究证明，新型冠状病毒若想引起感染，必须先与人体细胞表面的ACE2结合才行。网文中报道的APN01就是一种外源性的人类重组可溶性的ACE2，如果其替代人体本身的ACE2，进而新冠病毒结合，也就阻止了感染。体外实验和1期、2期临床试验研究，初步证实了这种外源性ACE2具有抗新冠病毒的潜力，其安全性也表现在可接受的范围内。但hrsACE2有无抗COVID-19作用尚需研究，“新冠特效药”更是无从谈起。目前对于该ACE2在新冠患者中的治疗作用，单凭一篇个案报道太过单薄，还需要更多的试验研究予以证实。有关其作用强度、持续时间、有效剂量、适用人群、不良反应等问题也仍需解决。,1
新冠疫苗的有效率一定要到90%才靠谱,FDA前审查员、疫苗专家李忠明表示，不同技术路线的疫苗有效率不同，不能先入为主，认为所有疫苗都要“考到90分以上”才好用，一般来说，有效率只要在60%以上，都是好的疫苗。此外，疫苗的接种人群也应该覆盖到60%以上。李忠明还强调，采用什么免疫策略除了疫苗本身的效果以外还要考虑很多其他因素，产品供应量、新冠疫苗覆盖接种率、药物经济学等都很重要，切忌因为一个有效率的数字判断哪个疫苗是最强大的。,1
新冠病毒去年2019年9月就已经在意大利流行,意大利这项研究对去年收集的血液样本进行检测发现，人群中存在一定比例的新冠抗体阳性。但因为抗体检测和假阳性的问题，并不能完全确认新冠病毒在去年9月就已经在意大利流行。不过，根据目前已有的研究结果，我们可以进行合理的推测：一种与新冠病毒很类似、甚至基本一致的病毒，在去年就已经在欧洲出现了。,3
研究发现两成新冠患者会在3个月内患上精神病,有报道称“研究发现20%新冠患者会在3个月内患上精神疾病”，这里的精神疾病其实是包括情绪障碍和焦虑症在内的一系列精神障碍的总称，与我们通常理解的“精神病”（如精神分裂症）是包含与被包含的关系。原研究中发现新冠患者出现的精神疾病主要是焦虑症。其实，很多疾病的患者都会有焦虑症。生了病可能会感到焦虑，严重的就会出现焦虑症或情绪障碍。即便病治好了，生病带来的麻烦也需要时间才能治愈。出现精神疾病的人大部分在确诊新冠之前就有相关病史，在感染新冠后疾病复发。所以单纯地把这些精神疾病理解为“新冠肺炎导致新发的疾病”或“新冠肺炎的后遗症”都不准确。,3
“新冠疫苗已开放预约，名额有限”短信系诈骗,该“新冠疫苗预约”短信内容以当地疾控中心名义发出，显示新冠疫苗已开放预约并规定了截止日期，并附上预约链接，引诱居民点击含木马病毒的链接。如果居民一旦进入这些链接填写身份证号、手机号、银行卡等相关敏感信息，会受到损失。天津、四川、内蒙古等地均已辟谣信息。,2
1月15日全国各地陆续封城，“封城时间表”流出,网传的封城内容都是改编自此前已传播的谣言，传谣者只是改了时间并套上了“全国封城”这样耸人听闻的标题。辽宁沈阳、浙江杭州、云南昆明、广西百色、湖北十堰等多地近日都相继辟谣了“沈阳封城了”“义乌2021年1月9日起高速、重要对外联络公路封闭”“杭州1月15日要封城，杭州11条高速出入口关闭”“舟山跨海大桥因疫情防控需要，将于1月28日封桥”“浙江丽水青田本月15号将封城”“昆明15号封城”“1月29日凌晨实行广西全区封城”“十堰1月25日封闭道路、景点”等。,1
感染新冠可以“以毒攻毒”治疗癌症,《英国血液病杂志》确实报道了一个神奇的案例：恶性淋巴瘤患者在感染新冠病毒后，肿瘤几乎消失了。奇迹出现的原因，是病毒感染激发了人体免疫反应。但是这样的案例非常罕见，感染新冠不可能成为一个“以毒攻毒”的抗癌方法。对于癌症患者来说，避免感染新冠才更靠谱。,1
接种了mRNA疫苗就会变成转基因人,其实原研究只是提出了一个在实验室里观察到的现象，体外实验反映的现象与体内真实情况不能等同，RNA测序的结果也不能反映基因组DNA的真实情况所以mRNA疫苗并不会改变人体DNA。,1
视频：广东省人民医院乔贵宾称茶水可以杀死新冠病毒,网传的研究指的是日本奈良县立医科大学2020年11月30日发布的文章《お茶による新型コロナウイルスの不活化効果について ―お茶の種類（製品）による相異―》，其中提及医学专科的微生物感染症学教授矢野寿一带领的研究小组对“不同茶对新型冠状病毒的灭活效果”进行研究。该篇文章的结论是：本次研究并未能验证可以通过喝茶能达到预防新冠病毒感染的效果。2021年1月7日15时，网传视频中的主角广东省人民医院胸外科乔贵宾主任医师官方微博发布文章《关于网传“茶水能杀灭新冠病毒”的小视频，请网友们擦亮双眼！》进行辟谣，指出网传视频是被别人断章取义掐头去尾，把辟谣做成造谣的结果。,1
钟南山院士抵达石家庄抗击疫情,1月5日，科技日报记者从钟南山院士团队了解到，钟南山到石家庄的消息为谣言。目前钟南山院士在广州，并没有在石家庄。,1
钟南山和2500医护人员抵达大连抗击疫情,12月27日，金普发布微信公众号通报，金普新区网信办消息，近日，有网民在微信群及朋友圈中发布中巴车队驶入新区的视频，称“钟南山院士和2500名医护人员抵达金州”。经与相关部门核实，钟南山院士从未抵达新区，也未收到任何相关工作安排，此传言不实。通报称，目前，新区按照“外防输出、内防扩散，严格管控、措施到位，阻断源头、分类管控”的原则，实行对金州主城区先进、光中、站前、友谊、拥政5个街道的严格封闭管控，防疫工作正在有序推进。金普新区网信办表示，在此，请广大市民自觉遵守防疫规定，不造谣、不信谣、不传谣，共同为打赢这场疫情防控阻击战营造良好舆论氛围，凝聚起众志成城、共克时艰的强大正能量。,1
普京女儿注射疫苗后高烧不治身亡,俄罗斯Tsargrad电视台网站17日报道称，加拿大媒体“今日多伦多”当日发表了一篇俄罗斯总统普京女儿的所谓“独家新闻”，有关注射新冠疫苗后高烧不治身亡的消息，随后删除了这条假新闻。原文是一篇详细但完全虚假的文章。对于特定读者来说，加拿大网站显然创造了一个骗局。,1
新冠病毒会感染中耳组织,近日，发表在《美国医学会杂志·耳鼻喉科-头和颈外科学卷》的一项研究中，科研人员从新冠患者尸体的乳突骨及中耳部位检测到了新冠病毒，说明新冠病毒确实可能出现在患者耳部。实验中虽然在中耳检测到了新冠病毒，但并不能得出新冠病毒会感染中耳组织的结论。虽然此前也有个别新冠患者出现听力下降症状的报道，但是具体的原因仍不清楚，还需要进行更多的研究。耳部出现新冠病毒提示耳鼻喉科医护人员在手术过程中也需要进行额外的防护。不过耳朵并不和外界进行大量气体或物质交换，也不是病毒进行传播的有效途径，所以我们不必过分担心，也无需针对患者的耳部进行格外防护。,3
新冠灭活疫苗已开卖，498元一支，总共打3支,上观新闻记者致电网传疫苗的生产方北京科兴中维生物技术有限公司，相关负责人表示目前疫苗正在巴西、孟加拉国等国家进行三期临床研究，还没有上市。记者又致电武汉生物制品研究所有限责任公司，相关负责人表示目前疫苗还在临床试验阶段，没有上市。可见，网传两款新冠疫苗都没有上市，不存在一些人员先期接种，在朋友圈兜售就更不可能。记者也了解到，疫苗的药品追溯码是100%全覆盖的。处于临床研究的疫苗可以查到追溯码，但有追溯码不代表已上市。,1
水是新冠病毒的重大弱点,报道中的研究发现：室温水可以在24小时内杀死90%的新冠病毒，沸水能“立即且完全”杀死新冠病毒。其实，新冠病毒离开宿主细胞后一定会失去活性这是已知的，“沸水”条件下失活更快也是已知的。至于具体的失活时间，由于没有相关的研究支持，报道内容并不可信。报道中还提到氯化水是杀死新冠病毒的“高效”水。其实新冠疫情期间我们一直在使用含氯消毒剂进行消毒，氯化物会影响病毒活性也是已知事实。水本身称不上是“新冠病毒的重大弱点”，俄罗斯科学家的这一发现也算不上是“发现”。,1
新冠疫苗对肥胖者无效,新冠疫苗对肥胖者并非完全无效，实际效果有待进一步研究。肥胖对于人体健康的危害性不言而喻，肥胖带来的多余组织会对人的呼吸、血液、免疫功能等多个方面产生直接影响。据英国公共卫生部门的研究，肥胖是COVID-19导致住院率和死亡风险增加的重要原因。有研究认为，肥胖能降低疫苗的免疫应答反应，但其作用机制还有待更多的数据研究。只能说肥胖可能会影响疫苗的保护效果，这种降低也不是直接把免疫应答反应降为0，即使是应用成熟的疫苗，其防护也无法达到100%。,3
日本流行的新冠病毒株已发生重大突变,日本国立感染症研究所病原体基因组解析研究中心主任黑田诚对新华社记者表示，上述报道是误报。目前日本国内流行的新冠病毒毒株只是在此前欧洲相关基因序列的新冠病毒基础上，进一步发生了6个碱基变异。这一发生少量碱基变异的毒株可能从6月下旬开始从东京向日本全国扩散。截至7月16日，研究人员分析了日本国内3600多名新冠病毒感染者以及经航班入境的67名感染者的病毒基因组序列，和世界各地研究人员公布的全球约4.6万名新冠病毒感染者的病毒基因组序列进行了比对。从全球来看，自2019年年末至今年7月的这段时间里，新冠病毒基因组平均随机发生了大约15个碱基变异。,1
研究发现高个子感染新冠病毒的风险更大,网传“高个子感染新冠病毒的风险更大”，但是在相关的论文中，这只是一个芝麻大的发现。从统计学上看，身高与新冠病毒感染风险的相关性也并不显著。根据论文，英国高个子感染新冠病毒的风险增加了，而美国的高个子感染风险反而减少了，这两个数据所反映的现象是互相矛盾的。“高个子感染新冠病毒的风险更大”极有可能只是一个随机发生的现象，没有实质性的证据证明它是一个可靠的规律。且该论文未经同行评议，应谨慎看待论文结论。身高与新冠感染风险之间的关系本就存疑，用它来支持“新冠病毒通过气溶胶传播”更是荒谬。气溶胶传播的可能性存在，但是不应被过分夸大。,3
大连新冠疫情与北京新疆疫情有关联,8月3日，大连市政府新闻办召开新闻发布会。大连市政府副秘书长、市卫健委主任赵作伟介绍，本次疫情由境外输入引起的可能性不能排除，来自凯洋公司内外样本的病毒基因序列高度同源，表示本次大连疫情为同一个链条，未发现本次疫情与近期的北京新疆的病例有相关关联的线索。病例标本的基因测序结果，显示与我国本土流行的新冠病毒基因型不同，也排除乌鲁木齐新疆北京新发地哈尔滨和绥芬河疫情的关联性。本次疫情可初步排除国内本地病例传播的可能，推测可能是由境外输入引起的。,1
云南吃野生菌中毒死亡人数已超当地新冠死亡人数,7月25日，云南省卫生健康委发布消息：从2020年5月至7月20日，云南省已发生野生菌中毒事件273起，12人死亡。而根据疫情实时大数据报告，截至2020年8月1日，云南省累计因新冠病毒肺炎死亡的病例为2例，这个数字远远低于2020年上半年菌类中毒死亡人数。由此可见，在云南吃野生菌中毒人数高于新冠死亡人数却是实情。,2
荷兰水貂把新冠病毒传人说明水貂是中间宿主,新冠疫情以来，全球有多个动物感染新冠病毒的案例被报道，近日，荷兰病毒学家通过病毒全基因组测序证实新冠病毒能够从人类传播给水貂，并从水貂再次传回人类，这是目前为止报告的首例动物将新冠病毒传染至人类的案例。目前还没有实验证据支持猫狗或其他除水貂外的动物可以将新冠病毒传染给人，对于水貂及其他鼬科动物是否为新冠病毒的宿主这个问题，也还需要进一步的实验来验证,3
9月13日全国新增49名新冠确诊病例，分布多省市,网传视频中混淆了无症状感染者和确诊病例的概念，将两者简单相加得出了“新增49名病例”的结论，实际上，49名病例中有39名为无症状感染者，无症状感染者不是确诊病例。9月13日的新增确诊病例和无症状感染者均为境外输入。境外入境人员检测、隔离14天的规定一直没变过，所有入境人员从入境到卫生检疫、检测、转运全部是按照规定实行无缝对接和闭环管理，并没有进入社会，确诊患者已分布在全国多地的说法不属实。,1
新冠肺炎男性患者的死亡率更高,最近发表于《自然》杂志的一篇论文对男性患者更易因感染新冠而死亡这个问题进行了解释。其中指出，男性患者在感染新冠初期，体内多种免疫细胞因子的表达水平显著高于女性患者，“细胞因子风暴”导致的肺部组织损伤可能是男性重症患者死亡率更高的原因之一。科研人员发现的第二个现象是女性对于新冠病毒可以产生更强的免疫反应，在女性感染者体内，最终T细胞的激活和活性都显著的高于男性患者。在此研究的基础上，针对男女患者对于新冠的不同反应，医护人员可以在治疗时采取更加针对的治疗方法，增强治疗效果。,2
新冠死者平均只损失了几个月的寿命,认为“只损失数月寿命”的人，是犯了数学上的错误。对在美国业已成功活到78岁的老人来说，其预期寿命并不是78.8岁，而是男性87.8岁，女性89.3岁。也就是说，假如他/她在78岁时因新冠死亡，又没有其它特殊情况，那就会遭受大约10年的寿命损失。,1
人类可能无法对新冠病毒获得持久的免疫保护,麻疹病毒抗体的半衰期很长，只要感染过或接种过疫苗，人体就能持久地产生抗体，这是获得终身免疫的关键。流感病毒抗体半衰期较短，只有半年。而且由于流感病毒的种类太多，基因型容易因病毒株间基因交换而出现重大突变，导致免疫保护完全失效，造成大流感。有研究表明新冠病毒抗体的半衰期很短，所以我们不太可能对新冠病毒获得持久的免疫保护。但好在目前其亚型少，也还未发生重大突变，人体内还有细胞免疫反应，也许可以一定程度上抵挡新一轮的病毒感染。,2
警犬能够准确闻出感染新冠的人,研究表明，训练后，狗确实可以嗅出来自新冠患者的唾液样本，且准确率还不差。但在机场，检测犬主要是用来找出无症状感染者。如已经有发烧症状，机场使用额温枪或额温检测设备就可以快速进行排查，没必要用检测犬。但是，目前所报道的实验数据里，都没有明确说明检测犬是否能查出来自无症状感染者的样本，它们很有可能无法发现无症状感染者。检测犬能检测少量的样本，不能保证对大量样本进行检测的工作。此外，用来这些狗狗同样有感染新冠的风险。所以检测犬上岗的可靠性存疑，狗狗的安全也是需要考虑的因素。,3
香港新冠“二次感染”病例意味着群体免疫可能无效,该香港病例为全球首例康复后二次感染新冠病毒的病例。“二次感染”不是“复阳”，因为该患者第一次和第二次感染的病毒株基因序列并不相同。患者为何会二次感染？至少有两种猜测：ADE效应使得患者感染新的病毒株后不能有效抵抗，使病情更加严重。另一原因就是抗体在体内的消失，即患者体内的抗体无法存在很久，导致新的病毒来袭时，患者对它是不设防的。该“二次感染”病例提示我们：群体免疫可能是无效的，我们已经无法根除新冠，需要与其长期共存了。其次，疫苗可能无法提供终生保护，我们要通过反复注射来加强免疫，这对疫苗的需求量将更大。虽然当前的“二次感染”病例只是孤例，但这警示新冠康复者也需要保持足够的防疫意识。,2
大数据显示，新冠并没有造成更多人死亡,作者提供的每一个图表或说法，都有离谱的错误或编造的痕迹。实际上，疫情期间美国总死亡人数比正常年份高出了15%以上。作者宣称“英国死亡人数无异常”，实际上错误解读了数据。根据英国权威媒体统计，在疫情高峰期，英国的死亡率上升了45%。流传文章关于美国这部分，很大程度其实是翻译改写自一篇不靠谱的美国博客文章——除了宣扬错误数据和结论外，还拒绝疫苗。而中文译者在原文的基础上以个人喜好加上了诸多离谱想象。作者宣称瑞典在社会运转如常的情况下，取得了理想的防疫成绩。实际上：瑞典是欧洲最后一批走出疫情的国家；瑞典并非不检测、不隔离、不收治；瑞典的新冠死亡率在国情类似的北欧国家中显得非常高。,1
